item,month_year,quantity,order_total
Grilled Vegetables,2022-07,26.0,130.0
Ice Cream,2022-07,118.0,590.0
Iced Tea,2022-07,58.0,145.0
Lemonade,2022-07,60.0,180.0
Mashed Potatoes,2022-07,116.0,464.0
Nachos Grande,2022-07,36.0,360.0
Onion Rings,2022-07,52.0,260.0
Orange Juice,2022-07,76.0,228.0
Pasta Alfredo,2022-07,127.0,1524.0
Salmon,2022-07,63.0,1134.0
Side Salad,2022-07,98.0,294.0
Steak,2022-07,97.0,1940.0
Sweet Potato Fries,2022-07,68.0,340.0
Vegetarian Platter,2022-07,49.0,686.0
Water,2022-07,76.0,76.0
unknown,2022-07,192.0,1416.5
Beef Chili,2022-08,55.0,385.0
Brownie,2022-08,63.0,378.0
Cheese Fries,2022-08,80.0,400.0
Cheesecake,2022-08,55.0,385.0
Chicken Melt,2022-08,50.0,400.0
Chocolate Cake,2022-08,108.0,648.0
Coca Cola,2022-08,80.0,200.0
French Fries,2022-08,147.0,588.0
Fruit Salad,2022-08,84.0,336.0
Garlic Bread,2022-08,62.0,248.0
Grilled Chicken,2022-08,136.0,2040.0
Grilled Vegetables,2022-08,73.0,365.0
Ice Cream,2022-08,143.0,715.0
Iced Tea,2022-08,42.0,105.0
Lemonade,2022-08,43.0,129.0
Mashed Potatoes,2022-08,96.0,384.0
Nachos Grande,2022-08,12.0,120.0
Onion Rings,2022-08,51.0,255.0
Orange Juice,2022-08,81.0,243.0
Pasta Alfredo,2022-08,116.0,1392.0
Salmon,2022-08,73.0,1314.0
Side Salad,2022-08,117.0,351.0
Steak,2022-08,71.0,1420.0
Sweet Potato Fries,2022-08,61.0,305.0
Vegetarian Platter,2022-08,47.0,658.0
Water,2022-08,159.0,159.0
unknown,2022-08,168.0,949.0
Beef Chili,2022-09,39.0,273.0
Brownie,2022-09,63.0,378.0
Cheese Fries,2022-09,92.0,460.0
Cheesecake,2022-09,41.0,287.0
Chicken Melt,2022-09,40.0,320.0
Chocolate Cake,2022-09,113.0,678.0
Coca Cola,2022-09,86.0,215.0
French Fries,2022-09,115.0,460.0
Fruit Salad,2022-09,46.0,184.0
Garlic Bread,2022-09,52.0,208.0
Grilled Chicken,2022-09,104.0,1560.0
Grilled Vegetables,2022-09,77.0,385.0
Ice Cream,2022-09,154.0,770.0
Iced Tea,2022-09,26.0,65.0
Lemonade,2022-09,48.0,144.0
Mashed Potatoes,2022-09,99.0,396.0
Nachos Grande,2022-09,26.0,260.0
Onion Rings,2022-09,28.0,140.0
Orange Juice,2022-09,74.0,222.0
Pasta Alfredo,2022-09,119.0,1428.0
Salmon,2022-09,43.0,774.0
Side Salad,2022-09,118.0,354.0
Steak,2022-09,66.0,1320.0
Sweet Potato Fries,2022-09,102.0,510.0
Vegetarian Platter,2022-09,42.0,588.0
Water,2022-09,132.0,132.0
unknown,2022-09,151.0,1073.0
Beef Chili,2022-10,70.0,490.0
Brownie,2022-10,67.0,402.0
Cheese Fries,2022-10,75.0,375.0
Cheesecake,2022-10,65.0,455.0
Chicken Melt,2022-10,38.0,304.0
Chocolate Cake,2022-10,91.0,546.0
Coca Cola,2022-10,69.0,172.5
French Fries,2022-10,147.0,588.0
Fruit Salad,2022-10,53.0,212.0
Garlic Bread,2022-10,67.0,268.0
Grilled Chicken,2022-10,154.0,2310.0
Grilled Vegetables,2022-10,72.0,360.0
Ice Cream,2022-10,138.0,690.0
Iced Tea,2022-10,66.0,165.0
Lemonade,2022-10,79.0,237.0
Mashed Potatoes,2022-10,87.0,348.0
Nachos Grande,2022-10,64.0,640.0
Onion Rings,2022-10,51.0,255.0
Orange Juice,2022-10,93.0,279.0
Pasta Alfredo,2022-10,140.0,1680.0
Salmon,2022-10,62.0,1116.0
Side Salad,2022-10,132.0,396.0
Steak,2022-10,61.0,1220.0
Sweet Potato Fries,2022-10,54.0,270.0
Vegetarian Platter,2022-10,34.0,476.0
Water,2022-10,127.0,127.0
unknown,2022-10,231.0,1545.5
Beef Chili,2022-11,53.0,371.0
Brownie,2022-11,55.0,330.0
Cheese Fries,2022-11,118.0,590.0
Cheesecake,2022-11,55.0,385.0
Chicken Melt,2022-11,58.0,464.0
Chocolate Cake,2022-11,161.0,966.0
Coca Cola,2022-11,97.0,242.5
French Fries,2022-11,98.0,392.0
Fruit Salad,2022-11,41.0,164.0
Garlic Bread,2022-11,36.0,144.0
Grilled Chicken,2022-11,93.0,1395.0
Grilled Vegetables,2022-11,101.0,505.0
Ice Cream,2022-11,129.0,645.0
Iced Tea,2022-11,32.0,80.0
Lemonade,2022-11,50.0,150.0
Mashed Potatoes,2022-11,94.0,376.0
Nachos Grande,2022-11,15.0,150.0
Onion Rings,2022-11,48.0,240.0
Orange Juice,2022-11,72.0,216.0
Pasta Alfredo,2022-11,139.0,1668.0
Salmon,2022-11,34.0,612.0
Side Salad,2022-11,93.0,279.0
Steak,2022-11,77.0,1540.0
Sweet Potato Fries,2022-11,74.0,370.0
Vegetarian Platter,2022-11,47.0,658.0
Water,2022-11,152.0,152.0
unknown,2022-11,221.0,1260.0
Beef Chili,2022-12,42.0,294.0
Brownie,2022-12,59.0,354.0
Cheese Fries,2022-12,88.0,440.0
Cheesecake,2022-12,53.0,371.0
Chicken Melt,2022-12,43.0,344.0
Chocolate Cake,2022-12,101.0,606.0
Coca Cola,2022-12,63.0,157.5
French Fries,2022-12,162.0,648.0
Fruit Salad,2022-12,67.0,268.0
Garlic Bread,2022-12,76.0,304.0
Grilled Chicken,2022-12,73.0,1095.0
Grilled Vegetables,2022-12,74.0,370.0
Ice Cream,2022-12,98.0,490.0
Iced Tea,2022-12,44.0,110.0
Lemonade,2022-12,69.0,207.0
Mashed Potatoes,2022-12,89.0,356.0
Nachos Grande,2022-12,24.0,240.0
Onion Rings,2022-12,58.0,290.0
Orange Juice,2022-12,68.0,204.0
Pasta Alfredo,2022-12,161.0,1932.0
Salmon,2022-12,45.0,810.0
Side Salad,2022-12,105.0,315.0
Steak,2022-12,51.0,1020.0
Sweet Potato Fries,2022-12,54.0,270.0
Vegetarian Platter,2022-12,55.0,770.0
Water,2022-12,133.0,133.0
unknown,2022-12,166.0,975.0
Beef Chili,2023-01,67.0,469.0
Brownie,2023-01,58.0,348.0
Cheese Fries,2023-01,92.0,460.0
Cheesecake,2023-01,66.0,462.0
Chicken Melt,2023-01,43.0,344.0
Chocolate Cake,2023-01,104.0,624.0
Coca Cola,2023-01,88.0,220.0
French Fries,2023-01,118.0,472.0
Fruit Salad,2023-01,57.0,228.0
Garlic Bread,2023-01,59.0,236.0
Grilled Chicken,2023-01,103.0,1545.0
Grilled Vegetables,2023-01,58.0,290.0
Ice Cream,2023-01,138.0,690.0
Iced Tea,2023-01,59.0,147.5
Lemonade,2023-01,37.0,111.0
Mashed Potatoes,2023-01,124.0,496.0
Nachos Grande,2023-01,30.0,300.0
Onion Rings,2023-01,29.0,145.0
Orange Juice,2023-01,61.0,183.0
Pasta Alfredo,2023-01,85.0,1020.0
Salmon,2023-01,53.0,954.0
Side Salad,2023-01,120.0,360.0
Steak,2023-01,56.0,1120.0
Sweet Potato Fries,2023-01,78.0,390.0
Vegetarian Platter,2023-01,46.0,644.0
Water,2023-01,118.0,118.0
unknown,2023-01,165.0,1186.5
Beef Chili,2023-02,47.0,329.0
Brownie,2023-02,49.0,294.0
Cheese Fries,2023-02,75.0,375.0
Cheesecake,2023-02,79.0,553.0
Chicken Melt,2023-02,41.0,328.0
Chocolate Cake,2023-02,69.0,414.0
Coca Cola,2023-02,78.0,195.0
French Fries,2023-02,124.0,496.0
Fruit Salad,2023-02,54.0,216.0
Garlic Bread,2023-02,51.0,204.0
Grilled Chicken,2023-02,72.0,1080.0
Grilled Vegetables,2023-02,53.0,265.0
Ice Cream,2023-02,102.0,510.0
Iced Tea,2023-02,45.0,112.5
Lemonade,2023-02,70.0,210.0
Mashed Potatoes,2023-02,78.0,312.0
Nachos Grande,2023-02,38.0,380.0
Onion Rings,2023-02,29.0,145.0
Orange Juice,2023-02,64.0,192.0
Pasta Alfredo,2023-02,118.0,1416.0
Salmon,2023-02,60.0,1080.0
Side Salad,2023-02,96.0,288.0
Steak,2023-02,56.0,1120.0
Sweet Potato Fries,2023-02,63.0,315.0
Vegetarian Platter,2023-02,35.0,490.0
Water,2023-02,142.0,142.0
unknown,2023-02,179.0,1128.0
Beef Chili,2023-03,104.0,728.0
Brownie,2023-03,40.0,240.0
Cheese Fries,2023-03,83.0,415.0
Cheesecake,2023-03,56.0,392.0
Chicken Melt,2023-03,64.0,512.0
Chocolate Cake,2023-03,105.0,630.0
Coca Cola,2023-03,100.0,250.0
French Fries,2023-03,104.0,416.0
Fruit Salad,2023-03,69.0,276.0
Garlic Bread,2023-03,49.0,196.0
Grilled Chicken,2023-03,112.0,1680.0
Grilled Vegetables,2023-03,61.0,305.0
Ice Cream,2023-03,105.0,525.0
Iced Tea,2023-03,34.0,85.0
Lemonade,2023-03,66.0,198.0
Mashed Potatoes,2023-03,91.0,364.0
Nachos Grande,2023-03,30.0,300.0
Onion Rings,2023-03,33.0,165.0
Orange Juice,2023-03,75.0,225.0
Pasta Alfredo,2023-03,141.0,1692.0
Salmon,2023-03,42.0,756.0
Side Salad,2023-03,139.0,417.0
Steak,2023-03,86.0,1720.0
Sweet Potato Fries,2023-03,68.0,340.0
Vegetarian Platter,2023-03,48.0,672.0
Water,2023-03,102.0,102.0
unknown,2023-03,213.0,1296.5
Beef Chili,2023-04,70.0,490.0
Brownie,2023-04,62.0,372.0
Cheese Fries,2023-04,81.0,405.0
Cheesecake,2023-04,23.0,161.0
Chicken Melt,2023-04,65.0,520.0
Chocolate Cake,2023-04,78.0,468.0
Coca Cola,2023-04,45.0,112.5
French Fries,2023-04,90.0,360.0
Fruit Salad,2023-04,77.0,308.0
Garlic Bread,2023-04,43.0,172.0
Grilled Chicken,2023-04,96.0,1440.0
Grilled Vegetables,2023-04,51.0,255.0
Ice Cream,2023-04,107.0,535.0
Iced Tea,2023-04,31.0,77.5
Lemonade,2023-04,55.0,165.0
Mashed Potatoes,2023-04,107.0,428.0
Nachos Grande,2023-04,37.0,370.0
Onion Rings,2023-04,64.0,320.0
Orange Juice,2023-04,71.0,213.0
Pasta Alfredo,2023-04,103.0,1236.0
Salmon,2023-04,65.0,1170.0
Side Salad,2023-04,161.0,483.0
Steak,2023-04,105.0,2100.0
Sweet Potato Fries,2023-04,47.0,235.0
Vegetarian Platter,2023-04,40.0,560.0
Water,2023-04,127.0,127.0
unknown,2023-04,156.0,1230.0
Beef Chili,2023-05,65.0,455.0
Brownie,2023-05,64.0,384.0
Cheese Fries,2023-05,101.0,505.0
Cheesecake,2023-05,71.0,497.0
Chicken Melt,2023-05,63.0,504.0
Chocolate Cake,2023-05,132.0,792.0
Coca Cola,2023-05,106.0,265.0
French Fries,2023-05,111.0,444.0
Fruit Salad,2023-05,60.0,240.0
Garlic Bread,2023-05,39.0,156.0
Grilled Chicken,2023-05,141.0,2115.0
Grilled Vegetables,2023-05,63.0,315.0
Ice Cream,2023-05,134.0,670.0
Iced Tea,2023-05,58.0,145.0
Lemonade,2023-05,57.0,171.0
Mashed Potatoes,2023-05,77.0,308.0
Nachos Grande,2023-05,29.0,290.0
Onion Rings,2023-05,35.0,175.0
Orange Juice,2023-05,80.0,240.0
Pasta Alfredo,2023-05,129.0,1548.0
Salmon,2023-05,52.0,936.0
Side Salad,2023-05,128.0,384.0
Steak,2023-05,103.0,2060.0
Sweet Potato Fries,2023-05,43.0,215.0
Vegetarian Platter,2023-05,46.0,644.0
Water,2023-05,68.0,68.0
unknown,2023-05,131.0,864.0
Beef Chili,2023-06,60.0,420.0
Brownie,2023-06,52.0,312.0
Cheese Fries,2023-06,107.0,535.0
Cheesecake,2023-06,60.0,420.0
Chicken Melt,2023-06,75.0,600.0
Chocolate Cake,2023-06,99.0,594.0
Coca Cola,2023-06,124.0,310.0
French Fries,2023-06,120.0,480.0
Fruit Salad,2023-06,27.0,108.0
Garlic Bread,2023-06,24.0,96.0
Grilled Chicken,2023-06,86.0,1290.0
Grilled Vegetables,2023-06,79.0,395.0
Ice Cream,2023-06,119.0,595.0
Iced Tea,2023-06,29.0,72.5
Lemonade,2023-06,59.0,177.0
Mashed Potatoes,2023-06,108.0,432.0
Nachos Grande,2023-06,32.0,320.0
Onion Rings,2023-06,15.0,75.0
Orange Juice,2023-06,62.0,186.0
Pasta Alfredo,2023-06,165.0,1980.0
Salmon,2023-06,31.0,558.0
Side Salad,2023-06,95.0,285.0
Steak,2023-06,74.0,1480.0
Sweet Potato Fries,2023-06,43.0,215.0
Vegetarian Platter,2023-06,61.0,854.0
Water,2023-06,91.0,91.0
unknown,2023-06,130.0,853.0
Beef Chili,2023-07,58.0,406.0
Brownie,2023-07,61.0,366.0
Cheese Fries,2023-07,93.0,465.0
Cheesecake,2023-07,66.0,462.0
Chicken Melt,2023-07,54.0,432.0
Chocolate Cake,2023-07,84.0,504.0
Coca Cola,2023-07,125.0,312.5
French Fries,2023-07,94.0,376.0
Fruit Salad,2023-07,70.0,280.0
Garlic Bread,2023-07,33.0,132.0
Grilled Chicken,2023-07,115.0,1725.0
Grilled Vegetables,2023-07,90.0,450.0
Ice Cream,2023-07,117.0,585.0
Iced Tea,2023-07,49.0,122.5
Lemonade,2023-07,47.0,141.0
Mashed Potatoes,2023-07,94.0,376.0
Nachos Grande,2023-07,47.0,470.0
Onion Rings,2023-07,45.0,225.0
Orange Juice,2023-07,77.0,231.0
Pasta Alfredo,2023-07,137.0,1644.0
Salmon,2023-07,58.0,1044.0
Side Salad,2023-07,114.0,342.0
Steak,2023-07,71.0,1420.0
Sweet Potato Fries,2023-07,44.0,220.0
Vegetarian Platter,2023-07,33.0,462.0
Water,2023-07,81.0,81.0
unknown,2023-07,135.0,789.0
Beef Chili,2023-08,57.0,399.0
Brownie,2023-08,45.0,270.0
Cheese Fries,2023-08,81.0,405.0
Cheesecake,2023-08,33.0,231.0
Chicken Melt,2023-08,48.0,384.0
Chocolate Cake,2023-08,88.0,528.0
Coca Cola,2023-08,77.0,192.5
French Fries,2023-08,114.0,456.0
Fruit Salad,2023-08,72.0,288.0
Garlic Bread,2023-08,60.0,240.0
Grilled Chicken,2023-08,132.0,1980.0
Grilled Vegetables,2023-08,71.0,355.0
Ice Cream,2023-08,116.0,580.0
Iced Tea,2023-08,34.0,85.0
Lemonade,2023-08,80.0,240.0
Mashed Potatoes,2023-08,99.0,396.0
Nachos Grande,2023-08,22.0,220.0
Onion Rings,2023-08,78.0,390.0
Orange Juice,2023-08,91.0,273.0
Pasta Alfredo,2023-08,125.0,1500.0
Salmon,2023-08,42.0,756.0
Side Salad,2023-08,150.0,450.0
Steak,2023-08,81.0,1620.0
Sweet Potato Fries,2023-08,75.0,375.0
Vegetarian Platter,2023-08,48.0,672.0
Water,2023-08,120.0,120.0
unknown,2023-08,176.0,1368.5
Beef Chili,2023-09,49.0,343.0
Brownie,2023-09,67.0,402.0
Cheese Fries,2023-09,68.0,340.0
Cheesecake,2023-09,69.0,483.0
Chicken Melt,2023-09,47.0,376.0
Chocolate Cake,2023-09,114.0,684.0
Coca Cola,2023-09,129.0,322.5
French Fries,2023-09,122.0,488.0
Fruit Salad,2023-09,58.0,232.0
Garlic Bread,2023-09,63.0,252.0
Grilled Chicken,2023-09,100.0,1500.0
Grilled Vegetables,2023-09,79.0,395.0
Ice Cream,2023-09,163.0,815.0
Iced Tea,2023-09,43.0,107.5
Lemonade,2023-09,56.0,168.0
Mashed Potatoes,2023-09,74.0,296.0
Nachos Grande,2023-09,22.0,220.0
Onion Rings,2023-09,43.0,215.0
Orange Juice,2023-09,56.0,168.0
Pasta Alfredo,2023-09,139.0,1668.0
Salmon,2023-09,52.0,936.0
Side Salad,2023-09,113.0,339.0
Steak,2023-09,39.0,780.0
Sweet Potato Fries,2023-09,40.0,200.0
Vegetarian Platter,2023-09,42.0,588.0
Water,2023-09,124.0,124.0
unknown,2023-09,154.0,813.0
Beef Chili,2023-10,34.0,238.0
Brownie,2023-10,56.0,336.0
Cheese Fries,2023-10,77.0,385.0
Cheesecake,2023-10,75.0,525.0
Chicken Melt,2023-10,32.0,256.0
Chocolate Cake,2023-10,106.0,636.0
Coca Cola,2023-10,110.0,275.0
French Fries,2023-10,105.0,420.0
Fruit Salad,2023-10,46.0,184.0
Garlic Bread,2023-10,27.0,108.0
Grilled Chicken,2023-10,97.0,1455.0
Grilled Vegetables,2023-10,79.0,395.0
Ice Cream,2023-10,97.0,485.0
Iced Tea,2023-10,19.0,47.5
Lemonade,2023-10,54.0,162.0
Mashed Potatoes,2023-10,138.0,552.0
Nachos Grande,2023-10,33.0,330.0
Onion Rings,2023-10,62.0,310.0
Orange Juice,2023-10,69.0,207.0
Pasta Alfredo,2023-10,154.0,1848.0
Salmon,2023-10,33.0,594.0
Side Salad,2023-10,143.0,429.0
Steak,2023-10,43.0,860.0
Sweet Potato Fries,2023-10,47.0,235.0
Vegetarian Platter,2023-10,51.0,714.0
Water,2023-10,110.0,110.0
unknown,2023-10,184.0,1231.0
Beef Chili,2023-11,53.0,371.0
Brownie,2023-11,64.0,384.0
Cheese Fries,2023-11,67.0,335.0
Cheesecake,2023-11,83.0,581.0
Chicken Melt,2023-11,83.0,664.0
Chocolate Cake,2023-11,43.0,258.0
Coca Cola,2023-11,75.0,187.5
French Fries,2023-11,88.0,352.0
Fruit Salad,2023-11,39.0,156.0
Garlic Bread,2023-11,44.0,176.0
Grilled Chicken,2023-11,95.0,1425.0
Grilled Vegetables,2023-11,92.0,460.0
Ice Cream,2023-11,99.0,495.0
Iced Tea,2023-11,27.0,67.5
Lemonade,2023-11,58.0,174.0
Mashed Potatoes,2023-11,78.0,312.0
Nachos Grande,2023-11,23.0,230.0
Onion Rings,2023-11,54.0,270.0
Orange Juice,2023-11,90.0,270.0
Pasta Alfredo,2023-11,88.0,1056.0
Salmon,2023-11,48.0,864.0
Side Salad,2023-11,153.0,459.0
Steak,2023-11,54.0,1080.0
Sweet Potato Fries,2023-11,51.0,255.0
Vegetarian Platter,2023-11,58.0,812.0
Water,2023-11,135.0,135.0
unknown,2023-11,181.0,1051.0
Beef Chili,2023-12,56.0,392.0
Brownie,2023-12,64.0,384.0
Cheese Fries,2023-12,104.0,520.0
Cheesecake,2023-12,44.0,308.0
Chicken Melt,2023-12,54.0,432.0
Chocolate Cake,2023-12,100.0,600.0
Coca Cola,2023-12,139.0,347.5
French Fries,2023-12,108.0,432.0
Fruit Salad,2023-12,42.0,168.0
Garlic Bread,2023-12,64.0,256.0
Grilled Chicken,2023-12,71.0,1065.0
Grilled Vegetables,2023-12,115.0,575.0
Ice Cream,2023-12,108.0,540.0
Iced Tea,2023-12,50.0,125.0
Lemonade,2023-12,78.0,234.0
Mashed Potatoes,2023-12,85.0,340.0
Nachos Grande,2023-12,10.0,100.0
Onion Rings,2023-12,32.0,160.0
Orange Juice,2023-12,66.0,198.0
Pasta Alfredo,2023-12,108.0,1296.0
Salmon,2023-12,66.0,1188.0
Side Salad,2023-12,152.0,456.0
Steak,2023-12,73.0,1460.0
Sweet Potato Fries,2023-12,39.0,195.0
Vegetarian Platter,2023-12,60.0,840.0
Water,2023-12,106.0,106.0
unknown,2023-12,161.0,1012.0
